Title:,"Time Series, Area-Averaged of Ozone Total Column (TOMS-like) daily 0.25 (daily)"
User Start Date:,2000-01-01T00:00:00Z
User End Date:,2025-10-31T23:59:59Z
User Bounding Box:,"102,8,110,24"
Data Bounding Box:,"102.125,8.125,109.875,23.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2000-01-01T00:00:00Z&endtime=2025-10-31T23:59:59Z&bbox=102,8,110,24&data=OMTO3e_003_ColumnAmountO3&dataKeyword=O3&portal=GIOVANNI&format=json"
Fill Value (mean_OMTO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMTO3e_003_ColumnAmountO3
2004-10-01,264.918854
2004-10-02,265.299103
2004-10-03,271.105743
2004-10-04,273.436066
2004-10-05,270.38562
2004-10-06,270.879517
2004-10-07,269.529266
2004-10-08,271.296051
2004-10-09,268.912445
2004-10-10,265.56366
2004-10-11,265.061432
2004-10-12,268.380035
2004-10-13,270.785034
2004-10-14,266.74231
2004-10-15,267.705414
2004-10-16,263.896576
2004-10-17,-1.267651e+30
2004-10-18,264.55423
2004-10-19,261.572388
2004-10-20,261.686371
2004-10-21,265.192352
2004-10-22,267.963959
2004-10-23,265.014465
2004-10-24,266.345886
2004-10-25,268.24353
2004-10-26,270.342743
2004-10-27,269.8797
2004-10-28,265.782898
2004-10-29,263.846893
2004-10-30,262.832458
2004-10-31,260.802521
2004-11-01,260.87674
2004-11-02,262.096161
2004-11-03,259.215576
2004-11-04,261.912018
2004-11-05,258.756653
2004-11-06,259.877594
2004-11-07,259.073792
2004-11-08,259.206177
2004-11-09,260.820129
2004-11-10,257.718292
2004-11-11,261.158081
2004-11-12,257.298462
2004-11-13,256.249695
2004-11-14,253.930435
2004-11-15,254.421097
2004-11-16,251.688187
2004-11-17,249.595535
2004-11-18,-1.267651e+30
2004-12-02,247.136749
2004-12-03,247.505142
2004-12-04,246.921951
2004-12-05,249.338486
2004-12-06,247.943573
2004-12-07,246.319366
2004-12-08,243.87709
2004-12-09,243.084183
2004-12-10,242.827194
2004-12-11,244.873322
2004-12-12,246.713882
2004-12-13,252.064804
2004-12-14,250.644943
2004-12-15,248.117584
2004-12-16,244.214752
2004-12-17,244.503815
2004-12-18,248.233765
2004-12-19,248.679565
2004-12-20,-1.267651e+30
2004-12-21,237.874023
2004-12-22,241.451385
2004-12-23,243.333893
2004-12-24,246.522903
2004-12-25,242.280563
2004-12-26,240.953705
2004-12-27,242.258423
2004-12-28,254.172836
2004-12-29,255.351028
2004-12-30,251.881149
2004-12-31,248.816574
2005-01-01,247.638504
2005-01-02,244.5923
2005-01-03,242.571945
2005-01-04,241.895325
2005-01-05,239.023636
2005-01-06,235.76741
2005-01-07,235.75589
2005-01-08,235.089951
2005-01-09,240.912552
2005-01-10,245.654694
2005-01-11,253.758514
2005-01-12,251.094131
2005-01-13,247.983627
2005-01-14,258.405487
2005-01-15,254.412491
2005-01-16,250.506943
2005-01-17,259.074585
2005-01-18,254.225494
2005-01-19,248.128311
2005-01-20,247.464539
2005-01-21,-1.267651e+30
2005-01-22,250.913132
2005-01-23,247.248398
2005-01-24,244.214905
2005-01-25,245.940613
2005-01-26,248.871475
2005-01-27,248.979141
2005-01-28,250.990585
2005-01-29,247.56015
2005-01-30,245.455765
2005-01-31,241.571899
2005-02-01,242.599991
2005-02-02,242.717377
2005-02-03,236.831726
2005-02-04,237.81398
2005-02-05,239.806641
2005-02-06,245.23819
2005-02-07,243.019363
2005-02-08,245.591263
2005-02-09,241.680542
2005-02-10,246.538971
2005-02-11,250.103439
2005-02-12,247.482422
2005-02-13,250.892548
2005-02-14,252.802856
2005-02-15,252.790512
2005-02-16,251.916763
2005-02-17,250.776413
2005-02-18,254.600616
2005-02-19,254.130249
2005-02-20,258.475098
2005-02-21,257.907379
2005-02-22,-1.267651e+30
2005-02-23,259.299438
2005-02-24,256.448059
2005-02-25,255.040482
2005-02-26,253.954361
2005-02-27,256.301147
2005-02-28,256.149963
2005-03-01,261.578979
2005-03-02,259.064606
2005-03-03,260.131897
2005-03-04,259.788116
2005-03-05,259.396393
2005-03-06,262.996063
2005-03-07,261.795654
2005-03-08,263.862915
2005-03-09,265.645111
2005-03-10,259.168182
2005-03-11,267.366852
2005-03-12,265.347168
2005-03-13,270.077057
2005-03-14,272.837616
2005-03-15,275.230927
2005-03-16,270.224182
2005-03-17,266.193054
2005-03-18,266.770905
2005-03-19,264.569214
2005-03-20,258.442474
2005-03-21,261.161072
2005-03-22,266.948761
2005-03-23,265.801453
2005-03-24,260.381439
2005-03-25,263.468933
2005-03-26,-1.267651e+30
2005-03-27,261.432312
2005-03-28,260.707367
2005-03-29,261.094025
2005-03-30,260.617249
2005-03-31,259.650269
2005-04-01,254.999359
2005-04-02,254.516632
2005-04-03,252.999405
2005-04-04,254.758728
2005-04-05,253.339615
2005-04-06,259.060883
2005-04-07,265.404114
2005-04-08,262.478455
2005-04-09,266.733398
2005-04-10,268.101776
2005-04-11,265.521332
2005-04-12,263.755035
2005-04-13,262.480194
2005-04-14,264.299011
2005-04-15,263.551727
2005-04-16,267.563232
2005-04-17,269.47348
2005-04-18,268.121246
2005-04-19,267.791443
2005-04-20,269.614655
2005-04-21,272.308441
2005-04-22,273.221527
2005-04-23,276.259674
2005-04-24,275.094971
2005-04-25,276.807404
2005-04-26,276.726349
2005-04-27,-1.267651e+30
2005-04-28,277.705139
2005-04-29,276.016663
2005-04-30,274.518738
2005-05-01,273.009155
2005-05-02,272.860168
2005-05-03,275.128723
2005-05-04,272.822021
2005-05-05,270.645294
2005-05-06,270.622253
2005-05-07,264.269775
2005-05-08,261.574554
2005-05-09,263.660004
2005-05-10,269.148193
2005-05-11,267.898621
2005-05-12,266.040405
2005-05-13,267.335968
2005-05-14,266.06723
2005-05-15,267.867401
2005-05-16,268.50708
2005-05-17,271.614838
2005-05-18,270.45105
2005-05-19,272.685272
2005-05-20,268.150787
2005-05-21,271.097595
2005-05-22,274.007904
2005-05-23,271.392609
2005-05-24,274.670197
2005-05-25,275.215759
2005-05-26,276.059357
2005-05-27,275.632599
2005-05-28,277.501801
2005-05-29,-1.267651e+30
2005-05-30,271.763489
2005-05-31,270.167755
2005-06-01,273.631897
2005-06-02,268.692657
2005-06-03,271.958282
2005-06-04,270.615021
2005-06-05,268.654785
2005-06-06,264.479553
2005-06-07,262.5625
2005-06-08,264.200195
2005-06-09,262.778839
2005-06-10,262.518768
2005-06-11,265.910583
2005-06-12,265.429871
2005-06-13,266.868683
2005-06-14,262.293335
2005-06-15,266.570312
2005-06-16,263.343231
2005-06-17,262.113312
2005-06-18,264.699493
2005-06-19,265.535004
2005-06-20,263.487549
2005-06-21,262.443909
2005-06-22,262.805176
2005-06-23,260.532684
2005-06-24,264.708405
2005-06-25,266.930054
2005-06-26,266.773102
2005-06-27,265.395416
2005-06-28,265.788605
2005-06-29,265.367706
2005-06-30,-1.267651e+30
2005-07-01,262.957794
2005-07-02,262.446838
2005-07-03,262.415283
2005-07-04,268.935242
2005-07-05,272.182953
2005-07-06,270.575378
2005-07-07,269.523865
2005-07-08,265.825592
2005-07-09,266.690582
2005-07-10,266.7995
2005-07-11,269.04364
2005-07-12,264.395203
2005-07-13,263.637421
2005-07-14,268.103607
2005-07-15,271.595703
2005-07-16,269.831238
2005-07-17,268.474487
2005-07-18,264.973328
2005-07-19,267.067169
2005-07-20,267.357971
2005-07-21,269.504059
2005-07-22,269.431854
2005-07-23,268.78775
2005-07-24,270.531067
2005-07-25,270.916199
2005-07-26,267.016357
2005-07-27,264.5513
2005-07-28,260.421112
2005-07-29,262.64093
2005-07-30,258.422455
2005-07-31,259.980103
2005-08-01,-1.267651e+30
2005-08-02,269.945312
2005-08-03,267.007172
2005-08-04,266.770081
2005-08-05,268.314972
2005-08-06,266.417938
2005-08-07,266.095612
2005-08-08,265.322937
2005-08-09,264.723572
2005-08-10,261.039642
2005-08-11,261.488647
2005-08-12,263.098358
2005-08-13,263.3237
2005-08-14,265.292572
2005-08-15,265.326904
2005-08-16,270.242798
2005-08-17,263.839081
2005-08-18,265.73642
2005-08-19,263.732391
2005-08-20,264.752228
2005-08-21,265.197113
2005-08-22,263.173462
2005-08-23,265.235199
2005-08-24,263.897522
2005-08-25,267.616821
2005-08-26,264.861969
2005-08-27,268.631836
2005-08-28,268.423767
2005-08-29,264.995026
2005-08-30,264.150787
2005-08-31,259.44812
2005-09-01,264.391052
2005-09-02,-1.267651e+30
2005-09-03,269.07901
2005-09-04,268.80246
2005-09-05,268.059052
2005-09-06,266.090912
2005-09-07,264.707458
2005-09-08,263.739136
2005-09-09,263.316559
2005-09-10,263.040985
2005-09-11,264.12735
2005-09-12,266.624023
2005-09-13,262.816132
2005-09-14,264.335999
2005-09-15,260.199829
2005-09-16,260.030884
2005-09-17,261.416901
2005-09-18,255.571533
2005-09-19,259.559509
2005-09-20,264.843933
2005-09-21,266.142242
2005-09-22,262.431213
2005-09-23,261.014069
2005-09-24,264.383392
2005-09-25,261.316528
2005-09-26,261.196564
2005-09-27,263.180542
2005-09-28,263.516998
2005-09-29,264.869629
2005-09-30,261.490051
2005-10-01,259.998901
2005-10-02,256.896484
2005-10-03,261.136505
2005-10-04,-1.267651e+30
2005-10-05,263.390015
2005-10-06,261.792419
2005-10-07,256.887329
2005-10-08,255.365662
2005-10-09,252.390457
2005-10-10,256.35556
2005-10-11,250.436737
2005-10-12,251.033554
2005-10-13,255.281845
2005-10-14,255.828476
2005-10-15,256.770844
2005-10-16,254.320877
2005-10-17,255.793121
2005-10-18,257.041504
2005-10-19,258.28653
2005-10-20,254.05954
2005-10-21,253.526459
2005-10-22,254.754196
2005-10-23,251.6017
2005-10-24,250.147232
2005-10-25,250.698242
2005-10-26,250.01004
2005-10-27,248.116028
2005-10-28,249.68924
2005-10-29,246.851273
2005-10-30,245.491928
2005-10-31,245.709381
2005-11-01,241.917114
2005-11-02,248.353882
2005-11-03,245.999802
2005-11-04,242.184128
2005-11-05,-1.267651e+30
2005-11-06,241.96962
2005-11-07,245.561752
2005-11-08,240.208054
2005-11-09,241.884659
2005-11-10,236.531128
2005-11-11,237.461151
2005-11-12,234.664658
2005-11-13,235.998062
2005-11-14,234.482437
2005-11-15,233.536026
2005-11-16,236.063171
2005-11-17,235.374847
2005-11-18,237.105331
2005-11-19,240.374054
2005-11-20,242.717041
2005-11-21,242.013168
2005-11-22,240.524796
2005-11-23,236.953735
2005-11-24,235.098099
2005-11-25,237.908264
2005-11-26,235.320511
2005-11-27,233.260422
2005-11-28,228.396667
2005-11-29,228.336441
2005-11-30,229.375656
2005-12-01,225.743927
2005-12-02,228.008606
2005-12-03,225.449356
2005-12-04,232.064041
2005-12-05,228.164551
2005-12-06,230.150726
2005-12-07,-1.267651e+30
2005-12-08,233.038208
2005-12-09,232.38533
2005-12-10,229.471115
2005-12-11,230.522797
2005-12-12,227.310287
2005-12-13,234.02948
2005-12-14,230.31897
2005-12-15,230.335541
2005-12-16,232.003906
2005-12-17,233.090363
2005-12-18,235.976562
2005-12-19,232.294922
2005-12-20,233.056671
2005-12-21,226.353165
2005-12-22,227.40715
2005-12-23,227.467361
2005-12-24,224.030869
2005-12-25,225.896851
2005-12-26,221.265305
2005-12-27,228.983337
2005-12-28,228.276566
2005-12-29,233.821243
2005-12-30,233.709198
2005-12-31,235.103241
2006-01-01,235.154434
2006-01-02,233.192566
2006-01-03,235.676971
2006-01-04,233.769257
2006-01-05,234.467545
2006-01-06,229.739304
2006-01-07,231.104721
2006-01-08,-1.267651e+30
2006-01-09,228.895096
2006-01-10,228.096161
2006-01-11,225.582062
2006-01-12,228.383041
2006-01-13,227.559845
2006-01-14,231.776398
2006-01-15,228.966827
2006-01-16,229.719376
2006-01-17,232.245453
2006-01-18,231.108887
2006-01-19,233.68689
2006-01-20,231.59938
2006-01-21,233.147903
2006-01-22,232.311676
2006-01-23,230.171783
2006-01-24,228.295044
2006-01-25,229.284088
2006-01-26,227.217453
2006-01-27,224.916168
2006-01-28,229.258636
2006-01-29,233.831238
2006-01-30,234.140015
2006-01-31,231.225113
2006-02-01,232.153519
2006-02-02,232.858994
2006-02-03,231.011337
2006-02-04,230.543869
2006-02-05,230.518219
2006-02-06,232.263657
2006-02-07,235.306244
2006-02-08,233.932602
2006-02-09,-1.267651e+30
2006-02-10,230.343521
2006-02-11,229.999313
2006-02-12,231.91304
2006-02-13,233.175049
2006-02-14,236.647446
2006-02-15,242.091278
2006-02-16,243.822067
2006-02-17,242.22702
2006-02-18,243.292099
2006-02-19,246.615799
2006-02-20,247.208618
2006-02-21,247.777863
2006-02-22,247.467255
2006-02-23,244.397598
2006-02-24,245.960861
2006-02-25,245.370621
2006-02-26,245.762299
2006-02-27,246.711807
2006-03-03,246.616837
2006-03-04,247.443268
2006-03-05,245.299667
2006-03-06,246.076614
2006-03-07,248.846527
2006-03-08,247.170959
2006-03-09,250.889481
2006-03-10,252.408585
2006-03-11,253.048462
2006-03-12,253.170868
2006-03-13,247.188049
2006-03-14,249.784012
2006-03-15,244.646362
2006-03-16,246.415222
2006-03-17,246.228836
2006-03-18,249.244156
2006-03-19,248.315201
2006-03-20,248.132584
2006-03-21,254.710358
2006-03-22,253.696854
2006-03-23,254.792618
2006-03-24,253.938736
2006-03-25,256.126587
2006-03-26,256.238068
2006-03-27,258.391541
2006-03-28,255.267761
2006-03-29,259.431458
2006-03-30,254.82579
2006-03-31,252.405807
2006-04-01,253.040405
2006-04-02,257.005035
2006-04-03,257.240784
2006-04-04,261.266937
2006-04-05,259.929535
2006-04-06,260.967987
2006-04-07,255.710098
2006-04-08,255.486252
2006-04-09,257.303528
2006-04-10,261.093414
2006-04-11,266.573029
2006-04-12,268.431519
2006-04-13,269.348663
2006-04-14,268.039764
2006-04-15,271.756226
2006-04-16,268.271729
2006-04-17,273.158569
2006-04-18,270.120636
2006-04-19,271.077301
2006-04-20,271.007324
2006-04-21,269.484467
2006-04-22,269.310608
2006-04-23,270.012665
2006-04-24,267.979645
2006-04-25,264.862518
2006-04-26,263.425018
2006-04-27,261.093323
2006-04-28,260.860687
2006-04-29,266.312714
2006-04-30,268.021637
2006-05-01,267.684723
2006-05-02,270.274902
2006-05-03,273.091125
2006-05-04,276.842804
2006-05-05,275.64743
2006-05-06,277.910187
